^	-------W---------
|	|		|
|	|		|
|	|		|
|	H		|
|	|		|
|	|		|
|	|		|
|	|		|
|	o----------------
|
|
|
0------------------------------>


PARADO

	X(o)	Y(o)	W	H
1	2	396	36	45
2	44	396	38	45
3	86	396	38	43
4	128	396	36	42



ANDANDO

	X(o)	Y(o)	W	H
1	5	342	41	39
2	54	342	41	40
3	106	342	40	40
4	156	342	41	39
5	204	342	40	38
6	250	342	41	40
7	3	299	41	40
8	51	299	38	41
9	101	299	37	41
10	151	299	36	42
11	201	299	37	41
12	251	299	38	40



ATIRANDO

	X(o)	Y(o)	W	H
1	2	148	36	48
2	53	148	41	48
3	107	148	45	45
4	159	148	46	42
5	209	148	43	37
6	260	148	39	44
7	5	90	32	52
8	58	90	31	57
9	109	90	35	57



TIRO

	X(o)	Y(o)	W	H
1	186	109	10	10
2	197	109	10	10
3	208	109	10	10
4	219	109	10	10



EXPLOSÃO

	X(o)	Y(o)	W	H
1	15	52	29	29
2	72	54	25	25
3	122	51	31	27
4	177	48	34	33
5	230	49	37	36
6	11	2	37	38
7	64	3	43	39
8	118	4	46	39
9	173	5	47	39
10	277	5	46	41
