^	-------W---------
|	|		|
|	|		|
|	|		|
|	H		|
|	|		|
|	|		|
|	|		|
|	|		|
|	o----------------
|
|
|
0------------------------------>


PARADO

	X(o)	Y(o)	W	H
1	5	106	32	40
2	42	106	33	40
3	79	106	34	40
4	118	106	33	40
5	157	106	32	40
6	194	106	32	40



ANDANDO

	X(o)	Y(o)	W	H
1	4	55	33	42
2	43	55	32	42
3	80	55	35	43
4	119	59	40	40
5	163	55	38	44
6	206	55	35	43
7	248	55	33	42
8	287	55	33	43
9	326	55	32	43
10	362	59	37	40
11	404	55	36	44
12	445	55	35	43



ATIRANDO

	X(o)	Y(o)	W	H
1	4	8	34	41
2	42	9	50	41
3	102	10	54	10
4	160	10	67	40
5	232	10	69	40
6	306	10	51	40
7	363	10	53	40
8	423	11	53	40
9	481	12	50	41
10	534	12	34	41



TIRO

	X(o)	Y(o)	W	H
1	574	36	13	5
