^	-------W---------
|	|		|
|	|		|
|	|		|
|	H		|
|	|		|
|	|		|
|	|		|
|	|		|
|	o----------------
|
|
|
0------------------------------>


PARADO

	X(o)	Y(o)	W	H
1	17	68	40	38
2	66	68	40	38
3	115	68	39	37
4	163	68	43	38



CORRENDO

	X(o)	Y(o)	W	H
1	223	67	37	35
2	369	67	35	37
3	313	67	34	37
4	356	67	38	36
5	403	67	39	37
6	451	67	40	38



ATIRANDO

	X(o)	Y(o)	W	H
1	7	7	48	38
2	64	7	47	38
3	120	7	42	40
4	171	7	41	47
5	221	7	43	44
6	273	7	47	38
7	329	7	47	38
8	385	7	48	38
